largo de la clave,tolerancia
5,0.003527499156467593
6,0.0035255525920475797
7,0.003527499156467593
8,0.0033126802036684867
9,0.003527499156467593
10,0.007232549550658623
11,0.003527499156467593
12,0.003527499156467593
13,0.003527499156467593
14,0.007232549550658623
15,0.003527499156467593
16,0.003527499156467593
17,0.003527499156467593
18,0.003527499156467593
19,0.003527499156467593
20,0.003527499156467593
21,0.003527499156467593
22,0.003527499156467593
23,0.003527499156467593
24,0.003527499156467593
25,0.003527499156467593
26,0.003527499156467593
27,0.003527499156467593
28,0.003527499156467593
29,0.003527499156467593
30,0.007232549550658623
31,0.003527499156467593
32,0.003527499156467593
33,0.003527499156467593
34,0.003527499156467593
35,0.003527499156467593
36,0.003527499156467593
37,0.003527499156467593
38,0.003527499156467593
39,0.003527499156467593
40,0.003527499156467593
41,0.007232549550658623
42,0.003527499156467593
43,0.003527499156467593
44,0.003527499156467593
45,0.003527499156467593
46,0.003527499156467593
47,0.003527499156467593
48,0.003527499156467593
49,0.003527499156467593
50,0.003527499156467593
51,0.003527499156467593
52,0.003527499156467593
53,0.003527499156467593
54,0.003527499156467593
55,0.003527499156467593
56,0.003527499156467593
57,0.003527499156467593
58,0.003527499156467593
59,0.003527499156467593
60,0.007232549550658623
61,0.003527499156467593
62,0.003527499156467593
63,0.003527499156467593
64,0.003527499156467593
65,0.003527499156467593
66,0.003527499156467593
67,0.003527499156467593
68,0.003527499156467593
69,0.003527499156467593
70,0.003527499156467593
71,0.003527499156467593
72,0.003527499156467593
73,0.003527499156467593
74,0.003527499156467593
75,0.003527499156467593
76,0.003527499156467593
77,0.003527499156467593
78,0.003527499156467593
79,0.003527499156467593
80,0.003527499156467593
81,0.003527499156467593
82,0.003527499156467593
83,0.007232549550658623
84,0.003527499156467593
85,0.003527499156467593
86,0.003527499156467593
87,0.003527499156467593
88,0.003527499156467593
89,0.003527499156467593
90,0.003527499156467593
91,0.003527499156467593
92,0.003527499156467593
93,0.007232549550658623
94,0.003527499156467593
95,0.003527499156467593
96,0.003527499156467593
97,0.003527499156467593
98,0.003527499156467593
99,0.00708258914824167
100,0.003527499156467593
101,0.003527499156467593
102,0.003527499156467593
103,0.007232549550658623
104,0.003527499156467593
105,0.003527499156467593
106,0.003527499156467593
107,0.007390527806860873
108,0.003527499156467593
109,0.00708258914824167
110,0.003527499156467593
111,0.003527499156467593
112,0.0031935147085917826
113,0.00708258914824167
114,0.00708258914824167
115,0.00708258914824167
116,0.003869065896947737
117,0.003527499156467593
118,0.003527499156467593
119,0.0069050554870530205
120,0.00708258914824167
121,0.00708258914824167
122,0.00708258914824167
123,0.00708258914824167
124,0.007398273736128237
